Equipment_Name,MAC,IP,Device_Category,Device_Type,Notes,Status_Check,SNMP_Community,SNMP_Version,Network_Location_ID
4127 Black Oak Mtn RM5 .53,04:18:D6:35:B3:C8,10.4.127.53,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,191
4127 Black Oak Mtn NSM365 .34,68:72:51:0B:56:F5,10.4.127.34,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,191
4127 Black Oak Mtn RM2 .29,68:72:51:03:5D:77,10.4.127.29,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,191
4127 Black Oak Mtn RTR,00:00:00:00:00:0A,10.4.127.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,191
4127 Black Oak Mtn RM2 .21,68:72:51:25:16:21,10.4.127.21,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,191
4127 Black Oak Mtn C9 .20,0A:00:3E:27:D8:FE,10.4.127.20,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,191
4127 Black Oak Mtn UPS,00:00:00:00:00:0A,10.4.127.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,191
4127 Black Oak Mtn RM5 .131,04:18:D6:4B:D3:AA,10.4.127.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,191
4127 Black Oak Mtn RM5 .130,44:D9:E7:D1:8D:2B,10.4.127.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,191
4127 Black Oak Mtn SiteMonitor,00:00:00:00:00:0A,10.4.127.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,191
4125 Cape Fair C9 .96,0A:00:3E:92:55:B1,10.4.125.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C9 .95,0A:00:3E:92:50:26,10.4.125.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C9 .94,0A:00:3E:90:B0:F0,10.4.125.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C9 .92,0A:00:3E:91:B4:10,10.4.125.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C9 .91,0A:00:3E:91:99:90,10.4.125.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C5 .50,0A:00:3E:04:10:10,10.4.125.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair RM2 .26,68:72:51:43:FA:40,10.4.125.26,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,189
4125 Cape Fair RTR,00:00:00:00:00:0A,10.4.125.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair RM2 .23,68:72:51:6D:E5:1A,10.4.125.23,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,189
4125 Cape Fair RM2 .21,68:72:51:61:6A:60,10.4.125.21,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,189
4125 Cape Fair C5 .138,0A:00:3E:B0:B1:C4,10.4.125.138,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C5 .131,0A:00:3E:39:06:B5,10.4.125.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair C5 .130,0A:00:3E:38:49:5A,10.4.125.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,189
4125 Cape Fair SiteMonitor,00:00:00:00:00:0A,10.4.125.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,189
4124 Reeds Spring C9 .96,0A:00:3E:92:49:D4,10.4.124.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring C9 .95,0A:00:3E:92:49:D6,10.4.124.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring C9 .94,0A:00:3E:92:2D:C6,10.4.124.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring C9 .93,0A:00:3E:92:56:09,10.4.124.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring C9 .92,0A:00:3E:91:5B:5F,10.4.124.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring C9 .91,0A:00:3E:92:49:9B,10.4.124.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring RM5 .59,44:D9:E7:2F:FC:26,10.4.124.59,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,188
4124 Reeds Spring C5 .55,0A:00:3E:01:3C:63,10.4.124.55,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring RM5 .54,04:18:D6:C7:18:B0,10.4.124.54,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,188
4124 Reeds Spring C5 .50,0A:00:3E:04:0E:25,10.4.124.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring RTR,00:00:00:00:00:0A,10.4.124.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring UPS,00:00:00:00:00:0A,10.4.124.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,188
4124 Reeds Spring AF24 .131,02:27:22:DA:54:9A,10.4.124.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,188
4124 Reeds Spring AF24 .130,02:27:22:DA:53:E1,10.4.124.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,188
4124 Reeds Spring SiteMonitor,00:00:00:00:00:0A,10.4.124.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,188
4123 Draper C9 .96,0A:00:3E:92:7E:99,10.4.123.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,187
4123 Draper C9 .93,0A:00:3E:91:48:6A,10.4.123.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,187
4123 Draper C9 .90,0A:00:3E:92:2A:EE,10.4.123.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,187
4123 Draper RTR,00:00:00:00:00:0A,10.4.123.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,187
4123 Draper C2 .20,0A:00:3E:26:A4:BB,10.4.123.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,187
4123 Draper UPS,00:00:00:00:00:0A,10.4.123.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,187
4123 Draper NBEM5 .131,44:D9:E7:49:DC:7A,10.4.123.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,187
4123 Draper NBEM5 .130,44:D9:E7:49:DB:5F,10.4.123.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,187
4123 Draper Netonix .10,00:00:00:00:00:0A,10.4.123.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,187
4121 Tablerock Healthcare C9 .96,0A:00:3E:90:AC:8D,10.4.121.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare C9 .95,0A:00:3E:92:2D:6E,10.4.121.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare C9 .94,0A:00:3E:93:04:27,10.4.121.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare C9 .93,0A:00:3E:95:30:A9,10.4.121.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare C5 .59,0A:00:3E:03:98:BA,10.4.121.59,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare PBEM5 .56,80:2A:A8:E5:28:04,10.4.121.56,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,185
4121 Tablerock Healthcare RM5 .55,F0:9F:C2:43:FC:70,10.4.121.55,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,185
4121 Tablerock Healthcare RM5 .53,44:D9:E7:45:C3:31,10.4.121.53,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,185
4121 Tablerock Healthcare RM5 .51,80:2A:A8:7F:45:55,10.4.121.51,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,185
4121 Tablerock Healthcare C5 .50,0A:00:3E:04:30:36,10.4.121.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare RTR,00:00:00:00:00:0A,10.4.121.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare C2 .20,0A:00:3E:26:08:B7,10.4.121.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare UPS,00:00:00:00:00:0A,10.4.121.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare RM5 .131,04:18:D6:4B:D3:82,10.4.121.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,185
4121 Tablerock Healthcare RM5 .130,04:18:D6:4B:D2:C6,10.4.121.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,185
4121 Tablerock Healthcare Netonix .13,00:00:00:00:00:0A,10.4.121.13,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare Netonix .12,00:00:00:00:00:0A,10.4.121.12,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,185
4121 Tablerock Healthcare Netonix .11,00:00:00:00:00:0A,10.4.121.11,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,185
4120 Ranch Run A Muck C9 .96,0A:00:3E:96:19:FB,10.4.120.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck C9 .95,0A:00:3E:91:CE:39,10.4.120.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck C9 .94,0A:00:3E:92:EA:C9,10.4.120.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck C9 .93,0A:00:3E:90:F4:52,10.4.120.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck C9 .92,0A:00:3E:90:8F:57,10.4.120.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck C9 .91,0A:00:3E:92:C7:46,10.4.120.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck NSM5 .51,44:D9:E7:DB:3A:AF,10.4.120.51,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,184
4120 Ranch Run A Muck C2+ .27,0A:00:3E:48:73:DE,10.4.120.27,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck C2+ .26,0A:00:3E:48:7E:45,10.4.120.26,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck RTR,00:00:00:00:00:0A,10.4.120.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck PBEM2 .24,F0:9F:C2:47:91:36,10.4.120.24,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,184
4120 Ranch Run A Muck C2 .20,0A:00:3E:27:96:9C,10.4.120.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck AF5x .139,06:18:D6:E3:2C:56,10.4.120.139,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,184
4120 Ranch Run A Muck AF5x .138,06:18:D6:E3:B9:E0,10.4.120.138,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,184
4120 Ranch Run A Muck SiteMonitor,00:00:00:00:00:0A,10.4.120.11,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,184
4120 Ranch Run A Muck CMM,00:00:00:00:00:0A,10.4.120.10,Sync Timing,Cambium CMM,,ICMP and SNMP,!highspeed,2,184
4119 Rocky Top C9 .96,0A:00:3E:90:05:EC,10.4.119.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C9 .95,0A:00:3E:91:FF:3A,10.4.119.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C9 .94,0A:00:3E:90:FD:26,10.4.119.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C9 .93,0A:00:3E:90:DF:1F,10.4.119.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C9 .92,0A:00:3E:90:19:A0,10.4.119.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C9 .91,0A:00:3E:91:FE:74,10.4.119.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top RM365 .33,68:72:51:09:F2:A2,10.4.119.33,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,183
4119 Rocky Top RM365 .30,00:27:22:4D:1F:39,10.4.119.30,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,183
4119 Rocky Top UPS,00:00:00:00:00:0A,10.4.119.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C5 .131,0A:00:3E:B0:A1:06,10.4.119.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top C5 .130,0A:00:3E:B0:A0:FA,10.4.119.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,183
4119 Rocky Top SiteMonitor,00:00:00:00:00:0A,10.4.119.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,183
4115 The Oaks C9 .96,0A:00:3E:91:F3:40,10.4.115.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks C9 .94,0A:00:3E:92:F4:D0,10.4.115.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks C9 .91,0A:00:3E:95:51:23,10.4.115.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks C9 .90,0A:00:3E:91:6A:46,10.4.115.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks NSM2 .23,68:72:51:3F:1B:E2,10.4.115.23,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,179
4115 The Oaks C2 .20,0A:00:3E:25:AD:A4,10.4.115.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks C5 .131,0A:00:3E:B0:9D:BD,10.4.115.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks C5 .130,0A:00:3E:B0:B2:06,10.4.115.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,179
4115 The Oaks CMM,00:00:00:00:00:0A,10.4.115.10,Sync Timing,Cambium CMM,,ICMP and SNMP,!highspeed,2,179
4114 Shell Knob C9 .90,0A:00:3E:95:DA:30,10.4.114.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,178
4114 Shell Knob C2 .20,0A:00:3E:25:22:28,10.4.114.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,178
4114 Shell Knob NBM365 .131,68:72:51:63:C6:43,10.4.114.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,178
4113 Golden C9+ .94,0A:00:3E:45:91:45,10.4.113.94,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C9+ .93,0A:00:3E:45:90:92,10.4.113.93,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C9+ .92,0A:00:3E:45:8A:11,10.4.113.92,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C9+ .91,0A:00:3E:45:91:06,10.4.113.91,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden RM5 .50,F0:9F:C2:43:FB:F4,10.4.113.50,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,177
4113 Golden C2 .26,0A:00:3E:24:11:81,10.4.113.26,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden RTR,00:00:00:00:00:0A,10.4.113.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,177
4113 Golden C2 .25,0A:00:3E:23:A1:51,10.4.113.25,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C2 .24,0A:00:3E:20:AD:AE,10.4.113.24,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C2 .23,0A:00:3E:27:22:05,10.4.113.23,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C2 .22,0A:00:3E:27:15:6B,10.4.113.22,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden C2 .21,0A:00:3E:26:B1:2A,10.4.113.21,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,177
4113 Golden UPS,00:00:00:00:00:0A,10.4.113.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,177
4113 Golden Netonix .10,00:00:00:00:00:0A,10.4.113.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,177
4111 Burk C9 .90,0A:00:3E:92:11:0D,10.4.111.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,175
4111 Burk RM5 .50,DC:9F:DB:03:05:9C,10.4.111.50,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,175
4111 Burk RM2 .20,DC:9F:DB:01:3A:EA,10.4.111.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,175
4111 Burk UPS,00:00:00:00:00:0A,10.4.111.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,175
4111 Burk PBEM5 .131,44:D9:E7:D1:F3:93,10.4.111.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,175
4111 Burk Netonix .10,00:00:00:00:00:0A,10.4.111.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,175
4109 Oak Grove C9 .90,0A:00:3E:92:17:86,10.4.109.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,173
4109 Oak Grove RM365 .30,68:72:51:6B:9A:72,10.4.109.30,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,173
4109 Oak Grove PBEM2 .28,44:D9:E7:AB:85:0D,10.4.109.28,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,173
4109 Oak Grove RTR,00:00:00:00:00:0A,10.4.109.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,173
4109 Oak Grove UPS,00:00:00:00:00:0A,10.4.109.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,173
4109 Oak Grove NBM5 .131,68:72:51:31:E2:A2,10.4.109.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,173
4109 Oak Grove NBM5 .130,68:72:51:31:DD:81,10.4.109.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,173
4109 Oak Grove Netonix .10,00:00:00:00:00:0A,10.4.109.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,173
4107 Emerald Beach C9 .91,0A:00:3E:93:1B:B9,10.4.107.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,171
4107 Emerald Beach C9 .90,0A:00:3E:91:0F:0A,10.4.107.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,171
4107 Emerald Beach RM2 .20,68:72:51:41:40:6B,10.4.107.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,171
4107 Emerald Beach UPS,00:00:00:00:00:0A,10.4.107.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,171
4107 Emerald Beach NSM365 .131,24:A4:3C:41:83:6F,10.4.107.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,171
4107 Emerald Beach CMM,00:00:00:00:00:0A,10.4.107.10,Sync Timing,Cambium CMM,,ICMP and SNMP,!highspeed,2,171
4106 Lampe C9 .90,0A:00:3E:91:A9:6C,10.4.106.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,170
4106 Lampe C2 .20,0A:00:3E:25:46:F9,10.4.106.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,170
4106 Lampe UPS,00:00:00:00:00:0A,10.4.106.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,170
4106 Lampe C5 .131,0A:00:3E:03:64:25,10.4.106.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,170
4106 Lampe C5 .130,0A:00:3E:03:A4:DA,10.4.106.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,170
4106 Lampe SiteMonitor,00:00:00:00:00:0A,10.4.106.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,170
4001 Able Road RM365 .33,68:72:51:6B:9A:87,10.4.1.33,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,255
4001 Able Road RM365 .32,00:27:22:17:DD:87,10.4.1.32,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,255
4001 Able Road RM365 .31,68:72:51:6B:9A:F8,10.4.1.31,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,255
4001 Able Road NSM2 .29,68:72:51:51:D4:F6,10.4.1.29,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,255
4001 Able Road RTR,00:00:00:00:00:0A,10.4.1.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,255
4001 Able Road UPS,00:00:00:00:00:0A,10.4.1.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,255
4001 Able Road PBEM5 .131,80:2A:A8:E5:27:CB,10.4.1.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,255
4001 Able Road PBEM5 .130,80:2A:A8:E5:28:01,10.4.1.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,255
4001 Able Road Netonix .10,00:00:00:00:00:0A,10.4.1.10,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,255
3099 Woods C9 .97,0A:00:3E:95:15:B7,10.3.99.97,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,163
3099 Woods C9 .90,0A:00:3E:96:18:2A,10.3.99.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,163
3099 Woods C2 .21,0A:00:3E:20:B7:05,10.3.99.21,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,163
3099 Woods C2 .20,0A:00:3E:23:3B:EA,10.3.99.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,163
3099 Woods C5 .130,0A:00:3E:39:02:F3,10.3.99.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,163
3099 Woods CMM,00:00:00:00:00:0A,10.3.99.10,Sync Timing,Cambium CMM,,ICMP and SNMP,!highspeed,2,163
3094 Hwy W C9+ .99,0A:00:3E:45:89:D3,10.3.94.99,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,20
3094 Hwy W C9 .95,0A:00:3E:94:D7:4D,10.3.94.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,20
3094 Hwy W C9 .94,0A:00:3E:94:EC:EE,10.3.94.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,20
3094 Hwy W C9 .90,0A:00:3E:95:7B:39,10.3.94.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,20
3094 Hwy W PBEM5 .56,80:2A:A8:73:0B:D1,10.3.94.56,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,20
3094 Hwy W C5 .50,0A:00:3E:FA:C5:DD,10.3.94.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,20
3094 Hwy W PBEM5 .131,80:2A:A8:63:ED:C0,10.3.94.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,20
3094 Hwy W PBEM5 .130,80:2A:A8:A3:79:E2,10.3.94.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,20
3094 Hwy W Netonix .11,00:00:00:00:00:0A,10.3.94.11,POE,Netonix POE Switch,,ICMP and SNMP,!highspeed,2,20
3066 Mansfield SW C9 .94,0A:00:3E:92:4F:D8,10.3.66.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,130
3066 Mansfield SW C9 .90,0A:00:3E:90:9C:30,10.3.66.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,130
3066 Mansfield SW RM2 .20,68:72:51:03:12:03,10.3.66.20,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,130
3066 Mansfield SW UPS,00:00:00:00:00:0A,10.3.66.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,130
3066 Mansfield SW C5 .131,0A:00:3E:B0:B2:08,10.3.66.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,130
3066 Mansfield SW C5 .130,0A:00:3E:B0:9D:B6,10.3.66.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,130
3062 Aquawells C9+ .95,0A:00:3E:45:8B:4F,10.3.62.95,Access Point,Cambium PMP450 AP,,ICMP and SNMP,!highspeed,2,27
3062 Aquawells C9 .90,0A:00:3E:93:02:A8,10.3.62.90,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,27
3062 Aquawells RM5 .59,44:D9:E7:A3:C4:8C,10.3.62.59,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,27
3062 Aquawells C5 .50,0A:00:3E:FC:3E:B4,10.3.62.50,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,27
3062 Aquawells PBEM2 .29,80:2A:A8:37:01:40,10.3.62.29,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,27
